,book,author,price
108,แม่จอมขวัญ,ชูวงศ์ ฉายะจินดา,391.00 บาท
109,คุณมาเฟียที่เมียไม่รัก,กัณฑ์กนิษฐ์,278.10 บาท
110,เล่ห์รักจับจอง (เล่ห์รัก),กานต์มณี,242.10 บาท
111,สามีฉันคือคุณเพื่อนบ้าน,พลอยรำพัน,251.10 บาท
112,ชุด เกิดอีกคราเป็นพระชายาองค์ชายอัปมงคล เล่ม 1-2 (จบ),ปีกหงส์,706.00 บาท
113,บันทึกสุดท้ายก่อนเธอจะหายไป,ยูดาอึน,255.00 บาท
114,ม่าย,พลอยนพเก้า,333.00 บาท
115,สู้รบพบรัก,มิมา,238.00 บาท
116,เราจะฝันถึงกันตลอดไป,วันฉัตร,279.00 บาท
117,เดชสมิง,จรสจันทร์,336.00 บาท
118,ใคร่รัก,พราวพริ้ม (พลิ้วอ่อน),468.00 บาท
119,วิวาห์นักล่า เล่ม 3 จบ,SA HA,387.00 บาท
120,วิวาห์นักล่า เล่ม 1,SA HA,387.00 บาท
121,วิวาห์นักล่า เล่ม 2,SA HA,409.50 บาท
122,ดวงใจเทวพรหม : ลออจันทร์ (ฉบับพิเศษ),ซ่อนกลิ่น,89.10 บาท
123,ดวงใจเทวพรหม : ขวัญฤทัย (ฉบับพิเศษ),เก้าแต้ม,89.10 บาท
124,ดวงใจเทวพรหม : ใจพิสุทธิ์ (ฉบับพิเศษ),แพรณัฐ,89.10 บาท
125,เกิดใหม่ชาตินี้ ฉันจะเป็นเจ้าตระกูล เล่ม 7 จบ,คิมโรอา,420.00 บาท
126,คนนี้เฮียคิงส์จอง,Cookie Pie,247.00 บาท
127,คุณยายสายแบ๊วและนางสาวแป๋วแหวว (ปกใหม่),ปิ่นกุสุมาลย์,336.00 บาท
128,เคียงใจปฐวี,เฌอนมไข่มุก,196.00 บาท
129,รอให้คุณหลงรัก,ณัฐกฤตา,298.00 บาท
130,นางร้ายขอลาตายได้ไหมคะ นะคะ นะคะ นะคะ,Way'h,315.00 บาท
131,รักนี้ไม่มีตำหนิ,ตวงทิพย์ ยุวชิต,153.00 บาท
132,รักสุดเถื่อนของคุณหมอ,กัณฑ์กนิษฐ์,260.10 บาท
133,วิวาห์สามีเอาแต่ใจ (ดวงใจวรลัญช์),วรินทร์นารี,215.10 บาท
134,สุดที่ร้ายให้เลิกรัก,บัวบูรพา,405.00 บาท
135,คำสั่งรักสามีมาเฟีย (ยอดรักของมาเฟีย),กานต์มณี,242.10 บาท
