,book,author,price
728,มนุษย์สังเคราะห์,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),216.00 บาท
729,การิน BlaCX ปริศนาอาถรรพ์ 'สีดำ' 2,อัยย์/Black Tohfu,152.10 บาท
730,มาแต่หิมพานต์,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),432.00 บาท
731,Cursed Sapphire มณีมนตรา,อาพัชรินทร์,197.10 บาท
732,การิน ปริศนาคดีอาถรรพ์ คดีที่ 1 บทจบ : คืนลอยกระทงสีเลือด (การ์ตูน),อัยย์,58.50 บาท
733,ศาสตร์สะกดรอยผี 2,Staying,197.10 บาท
734,Fake-Lie-Die : Lie ถ้าไม่อยากตายอย่าโกหก,เมธวิน,143.10 บาท
735,Winter เหมันต์สาบสูญ,ปองวุฒิ,139.50 บาท
736,Summer เกาะชะตาฆาต,ปองวุฒิ,148.50 บาท
737,การิน ปริศนาคดีอาถรรพ์ ภาค 2 ล.2 เชือกปะกำศพ,อัยย์,170.10 บาท
738,กึ่งหล้าบาดาล,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),432.00 บาท
739,อุปนิสาภพ,ปนาพันธ์ นุตร์อำพันธ์,207.00 บาท
740,สาปศพนางฟ้า 2 รัก ปรารถนา อาฆาต,กันย์ & Dim-Sum Studio,170.10 บาท
741,ชุดนาฏกรรมอำลาเล่ม1-2,,234.00 บาท
742,สาปศพนางฟ้า 1 ความรัก ริษยา ซากศพ,กันย์ & Dim-Sum Studio,179.10 บาท
743,คดีล่าคนเจ้าชู้,วินทร์ เลียววาริณ,175.50 บาท
744,Have No Choice เลือก-ทาง-ตาย 2,Nan-a (Alice) Hwang,143.10 บาท
745,Have No Choice เลือก-ทาง-ตาย 1,Nan-a (Alice) Hwang,134.10 บาท
746,บ้านเช่า...วิญญาณหลอน,ก้าวไกล,166.50 บาท
747,ศาสตร์สะกดรอยผี 1,Staying,197.10 บาท
748,Cursed Final คำสาปหลอนซ่อนวิญญาณ,เมธวิน,170.10 บาท
749,สาวน้อยเกวลิน 3 ตอนคลั่งดารา,อลินา,103.50 บาท
750,การิน ปริศนาคดีอาถรรพ์ คดีที่ 2 บทจบ : ขบวนแห่ภูต ป่าอาถรรพ์ (การ์ตูน),อัยย์,58.50 บาท
751,พรายพระกาฬ,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),535.50 บาท
752,ขุมทรัพย์โสมประภา,จินตวีร์ วิวัธน์(จินตนา ปิ่นเฉลียว),324.00 บาท
753,ชีวิตหลังความตาย,มายาวดี,112.50 บาท
754,Cursed 2 คำสาปหลอนโรงเรียนมรณะ,เมธวิน,143.10 บาท
755,เวียงร้อยดาว,บินละเว,216.00 บาท
756,เมย์ สาวน้อยพลังจิต,โซเฟีย,107.10 บาท
757,สาวน้อยเกวลิน 2 ตอนจากตายจากเป็น,อลินา,99.00 บาท
758,สาวน้อยเกวลิน 1 ตอนฆาตกรรมในแฟลต,อลินา,99.00 บาท
759,ของแถม (OBOS),เลออน,152.10 บาท
760,เครื่องรางดักฝัน (OBOS),NichtbraroN,161.10 บาท
761,คนเชิดหุ่น (OBOS),เนบิวลา,161.10 บาท
762,เงาวงกต (OBOS),แทน,152.10 บาท
763,เสียงหอนในห้องมืด HOWL IN THE DARK ROOM,อุเทน พรมแดง,175.50 บาท
764,กลลวงมรณะ  Revenge of Innocents,แนนซี่ เทย์เลอร์ โรเซนเบิร์ก,234.00 บาท
765,ร้านหลอนออนไลน์ 6 (จบ) ตอนอทศน,ข้าเจ้า,130.50 บาท
766,นักฆ่าบ้ากาม,สรจักร ศิริบริรักษ์,126.00 บาท
767,กระจกล่าวิญญาณ ภาคสัญญาเลือดแห่งมนต์ดำ,ชวลักษณ์,198.00 บาท
768,รหัสลับซีซาร์สะท้านโลก,ณัฐนันท์ สอนพรินทร์,180.00 บาท
769,การิน ปริศนาคดีอาถรรพ์ คดีที่ 6 บทแรก : กวีวิฬาร์อาฆาต (การ์ตูน),อัยย์,58.50 บาท
770,เพลิงเมฆา,แพรตะวัน,143.10 บาท
771,เล่ห์ร้ายมรณะ,ฟ้าใส ไอรดา,143.10 บาท
772,7 วันจองเวร : Friday ตอนท้าคนเป็น เห็นคนตาย,ภาคินัย,166.50 บาท
773,ตามล่าเกมมรณะ,ไพฑูรย์ เรือนทอง,224.10 บาท
