,book,author,price
104,แฮร์รี่พอตเตอร์ กับเด็กต้องคำสาป ภาคหนึ่งและสอง (2023),J.K. Rowling (เจ. เค. โรว์ลิง),445.50 บาท
105,หรือสักวันแอนดรอยด์จะฝันถึงแกะไฟฟ้า,PHILIP K.DICK (ฟิลิป เค. ดิก),247.50 บาท
106,ภาม คนรับจ้างตาย ภาคผู้แสวงกรรม คดีที่ 2 ทีมจารชนหักแผนโจรกรรม,วาฬน้ำเงิน,215.00 บาท
107,เชียร เจตภูตแห่งอัตตานิรันดร์ 3 (LN),WYN,271.00 บาท
108,รูนเนชัน Ruination,แอนโทนี เรย์โนลด์ส,396.00 บาท
109,หวังทง องครักษ์เสื้อแพร 12,เท่อเปี๋ยไป๋,356.00 บาท
110,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 2 บาร์ใหม่,เอ่อร์เกิน Er Gen,287.00 บาท
111,ผนึกสวรรค์ สยบมาร สะท้านเทพ เล่ม 17,เอ่อร์เกิน Er Gen,311.00 บาท
112,ปล่อยแม่มดคนนั้นซะ 17,Er Mu,343.00 บาท
113,เวทมนตร์ของผู้กลับมาต้องไม่ธรรมดา 8 จบ,Usonan,396.00 บาท
114,หวังทง องครักษ์เสื้อแพร 11,เท่อเปี๋ยไป๋,340.00 บาท
115,เวทมนตร์ของผู้กลับมาต้องไม่ธรรมดา 7,Usonan,316.00 บาท
116,เฉือนคมกลยุทธ์,Martha Wells,191.00 บาท
117,สกันดาร์กับจอมโจรขโมยยูนิคอร์น เล่ม 2,A.F. Steadman,355.50 บาท
118,มุมมองนักอ่านพระเจ้า เล่ม 16 (ฉบับพิมพ์ครั้งที่ 2),sing N song,236.00 บาท
119,หวังทง องครักษ์เสื้อแพร 9,เท่อเปี๋ยไป๋,340.00 บาท
120,เวทมนตร์ของผู้กลับมาต้องไม่ธรรมดา 6,Usonan,260.00 บาท
121,หวังทง องครักษ์เสื้อแพร 10,เท่อเปี๋ยไป๋,340.00 บาท
122,บันทึกรัตติกาลต้องสาป,Anne Rice (แอนน์ ไรซ์),350.10 บาท
123,มหาสงครามพิภพวานร วันสิ้นยุค (ปกใหม่),เกรก คียส์ (Greg Keyes),240.00 บาท
124,รุ่งอรุณแห่งพิภพวานร ไวรัสมรณะ (ปกใหม่),เกรก คียส์ (Greg Keyes),216.00 บาท
