,book,author,price
79,Game Loading เล่ม 7 (จบ),หลงชี,414.00 บาท
80,Lyric เธอคือคนในเพลงรัก (ปกใหม่),เพชรไพลิน (เจ้าปลาน้อย),287.10 บาท
81,GAP ทฤษฎีสีชมพู (ปกใหม่),เพชรไพลิน (เจ้าปลาน้อย),548.10 บาท
82,เพลิงผลาญโศก เล่ม 1,Priest (พีต้า),445.50 บาท
83,ฮนบุล แสงไฟแห่งดวงวิญญาณ เล่ม 1,toldju,400.50 บาท
84,ฮนบุล แสงไฟแห่งดวงวิญญาณ เล่ม 2,toldju,400.50 บาท
85,มื้อนั้นกับคุณ มื้อนี้ของเรา เล่ม 2 (จบ),เจี้ยไช่หูหุ,305.10 บาท
86,มื้อนั้นกับคุณ มื้อนี้ของเรา เล่ม 1,เจี้ยไช่หูหุ,305.10 บาท
87,จังหวะหัวใจไร้เสียง เล่ม 2 (จบ),มู่เกิงมู่เกิง,305.10 บาท
88,จังหวะหัวใจไร้เสียง เล่ม 1,มู่เกิงมู่เกิง,305.10 บาท
89,สิ้นแสงอนธการ เล่ม 3,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),400.50 บาท
90,You were mine #รักนับอนันต์,5th_mm,288.00 บาท
91,Our Time จนถึง เวลา ของเรา,BELLE,270.00 บาท
92,Petals and Passion : กลิ่นอายรัก,มอคค่าปั่นใส่วิป,288.00 บาท
93,อยู่ท่ามกลางทุ่งลิลี่ รู้ตัวอีกที ก็เผลอเหมาสองซะแล้ว เล่ม 3,โทชิโซ,315.00 บาท
94,ชุดวิศวกรรณโยธา 1-2 (2เล่มจบ) (ปกใหม่),JittiRain,593.10 บาท
95,ก้าวเดียวจากนรก เล่ม 2 (เล่มจบ),จังนยัง,301.50 บาท
96,ก้าวเดียวจากนรก เล่ม 1,จังนยัง,301.50 บาท
97,พ้นเที่ยงคืนกลืนมิติ เล่ม 6,เหยียนเหลียงอวี่,449.10 บาท
98,พวกผีรู้ดีชีวิตนี้ฉันผ่านอะไรมาบ้าง เล่ม  2,โม่เฉินฮวน,413.10 บาท
99,ทะเลคลั่งภวังค์วิปลาส เล่ม 2,เหลียงฉาน,359.10 บาท
100,โลกแห่งไพ่ เล่ม 6,เตี๋ยจือหลิง (Die Zhiling),427.50 บาท
101,ใต้ต้นกันเกรา เล่ม 2 (ใหม่),hooliganis (ฮูลิกานิส),296.10 บาท
102,ป่วยรักช่วยรักษาหน่อยครับ,WAKI NAKURA,216.00 บาท
103,เพื่อนบ้านแสนดีขอไออุ่นทีเถอะ,SACHI UMINO,216.00 บาท
104,ทะลุมิติมาหาภรรยาที่รัก เล่ม 2,Jue Jue (เจวี๋ยเจวี๋ย),413.10 บาท
105,ทะลุมิติมาหาภรรยาที่รัก เล่ม 1,Jue Jue (เจวี๋ยเจวี๋ย),413.10 บาท
106,Dare you to Death ไขคดีเป็นเห็นคดีตาย,MTRD.S,422.10 บาท
107,Mobile payment for your love,OUKU,206.10 บาท
108,Wheel of fortune ตลกร้าย เด็กชาย ความรัก,เอ่อร์หย่า,342.00 บาท
109,พวกผีรู้ดีชีวิตนี้ฉันผ่านอะไรมาบ้าง เล่ม 1,โม่เฉินฮวน,386.10 บาท
110,ทะเลคลั่งภวังค์วิปลาส เล่ม  1,เหลียงฉาน,359.10 บาท
111,โซนากีคือชังมางั้นเหรอ เล่ม 4 (เล่มจบ),นาชีคล,301.50 บาท
112,สิ้นแสงอนธการ เล่ม 2,โร่วเปาปู้ชือโร่ว (rou bao bu chi rou),400.50 บาท
113,โซนากีคือชังมางั้นเหรอ เล่ม 3,นาชีคล,301.50 บาท
114,เล่ห์รักจอมโจร เล่ม 2,อวี่เซี่ยวหลานซาน,445.50 บาท
115,ย้อนเวลามาเป็นจักรพรรดิ (ไม่) เอาถ่าน เล่ม 2 จบ,เฟยเทียนเย่เสียง,445.50 บาท
116,คุณอยู่ในส่วนลึกของดวงดาว เล่ม 3 (จบ),อวี่เซี่ยวหลานซาน,409.50 บาท
117,คุณอยู่ในส่วนลึกของดวงดาว เล่ม 2,อวี่เซี่ยวหลานซาน,409.50 บาท
